jinyu 20240902

wavelength (microns), Re(eps)
0.651079, 2.3303
0.6509, 2.33032
0.649932, 2.33046
0.649312, 2.33054
0.648789, 2.33062
0.647723, 2.33077
0.64765, 2.33078
0.646515, 2.33093
0.646135, 2.33099
0.645384, 2.33109
0.644547, 2.33121
0.644256, 2.33125
0.643133, 2.33141
0.642958, 2.33144
0.642014, 2.33157
0.64137, 2.33166
0.640898, 2.33173
0.639787, 2.33189
0.639781, 2.33189
0.638679, 2.33204
0.638193, 2.33211
0.637575, 2.3322
0.636604, 2.33234
0.636475, 2.33236
0.635378, 2.33252
0.635015, 2.33257
0.634286, 2.33268
0.633426, 2.3328
0.633197, 2.33283
0.632112, 2.33299
0.631837, 2.33303
0.63103, 2.33315
0.630248, 2.33326
0.629953, 2.33331
0.628879, 2.33346
0.628659, 2.33349
0.627808, 2.33362
0.627069, 2.33373
0.626742, 2.33378
0.625678, 2.33393
0.62548, 2.33396
0.624619, 2.33409
0.623891, 2.3342
0.623563, 2.33425
0.622511, 2.3344
0.622301, 2.33443
0.621462, 2.33456
0.620711, 2.33467
0.620417, 2.33471
0.619375, 2.33487
0.619122, 2.33491
0.618337, 2.33503
0.617532, 2.33515
0.617302, 2.33518
0.61627, 2.33534
0.615942, 2.33539
0.615242, 2.33549
0.614352, 2.33563
0.614218, 2.33565
0.613197, 2.3358
0.612762, 2.33587
0.612179, 2.33596
0.611172, 2.33611
0.611165, 2.33611
0.610154, 2.33627
0.609582, 2.33635
0.609146, 2.33642
0.608142, 2.33657
0.607992, 2.3366
0.607141, 2.33673
0.606401, 2.33684
0.606143, 2.33688
0.605149, 2.33704
0.604811, 2.33709
0.604158, 2.33719
0.603221, 2.33733
0.60317, 2.33734
0.602185, 2.33749
0.60163, 2.33758
0.601204, 2.33765
0.600225, 2.3378
0.60004, 2.33783
0.59925, 2.33795
0.598449, 2.33808
0.598278, 2.33811
0.597309, 2.33826
0.596858, 2.33833
0.596344, 2.33841
0.595381, 2.33856
0.595267, 2.33858
0.594422, 2.33871
0.593677, 2.33883
0.593465, 2.33886
0.592512, 2.33901
0.592086, 2.33908
0.591562, 2.33917
0.590615, 2.33932
0.590495, 2.33934
0.58967, 2.33947
0.588904, 2.33959
0.588729, 2.33962
0.587791, 2.33977
0.587312, 2.33984
0.586856, 2.33992
0.585924, 2.34007
0.585721, 2.3401
0.584995, 2.34022
0.58413, 2.34035
0.584068, 2.34036
0.583145, 2.34051
0.582539, 2.34061
0.582224, 2.34066
0.581307, 2.34081
0.580947, 2.34087
0.580392, 2.34096
0.57948, 2.34111
0.579356, 2.34113
0.578571, 2.34125
0.577764, 2.34139
0.577665, 2.3414
0.576762, 2.34155
0.576173, 2.34165
0.575862, 2.3417
0.574964, 2.34184
0.574581, 2.34191
0.574069, 2.34199
0.573177, 2.34214
0.57299, 2.34217
0.572288, 2.34228
0.571401, 2.34243
0.571398, 2.34243
0.570518, 2.34257
0.569806, 2.34269
0.569636, 2.34272
0.568758, 2.34286
0.568214, 2.34295
0.567883, 2.34301
0.56701, 2.34315
0.566622, 2.34322
0.566139, 2.3433
0.565272, 2.34344
0.56503, 2.34348
0.564407, 2.34358
0.563544, 2.34373
0.563438, 2.34374
0.562685, 2.34387
0.561846, 2.34401
0.561828, 2.34401
0.560973, 2.34416
0.560254, 2.34428
0.560121, 2.3443
0.559272, 2.34444
0.558662, 2.34454
0.558426, 2.34458
0.557581, 2.34472
0.55707, 2.34481
0.55674, 2.34486
0.555901, 2.345
0.555478, 2.34508
0.555064, 2.34515
0.55423, 2.34529
0.553885, 2.34534
0.553399, 2.34543
0.55257, 2.34556
0.552293, 2.34561
0.551743, 2.3457
0.550919, 2.34584
0.550701, 2.34588
0.550098, 2.34598
0.549278, 2.34612
0.549108, 2.34615
0.548462, 2.34626
0.547647, 2.3464
0.547516, 2.34642
0.546835, 2.34653
0.546026, 2.34667
0.545923, 2.34669
0.545219, 2.34681
0.544414, 2.34694
0.544331, 2.34696
0.543612, 2.34708
0.542812, 2.34722
0.542738, 2.34723
0.542014, 2.34735
0.541219, 2.34749
0.541145, 2.3475
0.540426, 2.34762
0.539635, 2.34775
0.539553, 2.34777
0.538847, 2.34789
0.538061, 2.34802
0.53796, 2.34804
0.537277, 2.34816
0.536496, 2.34829
0.536367, 2.34831
0.535717, 2.34842
0.53494, 2.34855
0.534774, 2.34858
0.534165, 2.34869
0.533393, 2.34882
0.533181, 2.34885
0.532622, 2.34895
0.531854, 2.34908
0.531589, 2.34913
0.531089, 2.34921
0.530325, 2.34934
0.529996, 2.3494
0.529564, 2.34947
0.528805, 2.3496
0.528403, 2.34967
0.528048, 2.34973
0.527293, 2.34986
0.52681, 2.34994
0.52654, 2.34999
0.525789, 2.35011
0.525216, 2.35021
0.525041, 2.35024
0.524295, 2.35037
0.523623, 2.35048
0.523551, 2.3505
0.522809, 2.35062
0.522069, 2.35075
0.52203, 2.35075
0.521331, 2.35087
0.520595, 2.351
0.520437, 2.35103
0.519861, 2.35112
0.51913, 2.35125
0.518844, 2.3513
0.5184, 2.35137
0.517672, 2.3515
0.517251, 2.35157
0.516947, 2.35162
0.516223, 2.35174
0.515658, 2.35184
0.515502, 2.35186
0.514783, 2.35199
0.514065, 2.35211
0.514064, 2.35211
0.51335, 2.35223
0.512636, 2.35235
0.512471, 2.35238
0.511925, 2.35247
0.511215, 2.35259
0.510878, 2.35265
0.510508, 2.35271
0.509802, 2.35283
0.509284, 2.35292
0.509099, 2.35295
0.508397, 2.35306
0.507697, 2.35318
0.507691, 2.35318
0.506999, 2.3533
0.506303, 2.35342
0.506098, 2.35345
0.505609, 2.35353
0.504917, 2.35365
0.504504, 2.35372
0.504227, 2.35376
0.503539, 2.35388
0.502911, 2.35398
0.502852, 2.35399
0.502168, 2.35411
0.501485, 2.35422
0.501317, 2.35425
0.500804, 2.35434
0.500125, 2.35445
0.499448, 2.35456
0.498773, 2.35467
0.498099, 2.35478
0.497427, 2.3549
0.496757, 2.35501
0.496089, 2.35512
0.495423, 2.35523
0.494759, 2.35533
0.494096, 2.35544
0.493435, 2.35555
0.492776, 2.35566
0.492118, 2.35577
0.491463, 2.35587
0.490809, 2.35598
0.490156, 2.35608
0.489506, 2.35619
0.488857, 2.35629
0.48821, 2.3564
0.487565, 2.3565
0.486921, 2.35661
0.486279, 2.35671
0.485639, 2.35681
0.485001, 2.35691
0.484364, 2.35701
0.483728, 2.35711
0.483095, 2.35721
0.482463, 2.35731
